en,te
I am working on my new book.,నేను నా క్రొత్త పుస్తకంలో పని చేస్తున్నాను.
Not a sound was heard.,ఏ శబ్దం వినబడలేదు.
I am working on my new book.,నేను నా కొత్త పుస్తకం పని చేస్తున్నాను.
Stop protecting me.,నన్ను సేవ్ ఆపడానికి.
Tom's daughter is now thirteen.,టామ్ కుమార్తెకు ఇప్పుడు పదమూడు సంవత్సరాలు.
She left the room without saying a word.,ఆమె ఒక్క మాట కూడా మాట్లాడకుండా గది నుండి బయలుదేరింది.
The water was ice cold.,నీరు మంచు చల్లగా ఉంది.
Who is your favorite pianist?,మీ ఇష్టమైన పియానోయిస్ట్ ఎవరు?
I hate myself.,నన్ను నేను ద్వేషిస్తున్నాను.
Please do something about it.,దయచేసి దాని గురించి ఏదో చేయండి.
I'll never forget going to Hawaii with her.,ఆమెతో హవాయికి వెళ్లడాన్ని నేను ఎప్పటికీ మర్చిపోలేను.
I suppose you'll be studying all day tomorrow.,మీరు రేపు రోజంతా చదువుతారని అనుకుందాం.
We're firing you.,మేము మీరు తొలగించడం.
Tom is wearing an expensive suit.,టామ్ ఖరీదైన దుస్తులు ధరించాడు.
We're running short of food.,మనం ఆహార కొరతతో ఉన్నాం.
You were my inspiration.,మీరు నా ప్రేరణ.
I've fixed the radio for him.,నేను అతనికి రేడియో పరిష్కరించారు.
We aren't doing anything.,మేము ఏమీ చేయబోతున్నాము.
I can help you now.,నేను ఇప్పుడు మీకు సహాయం చేయవచ్చు.
How about going out for lunch?,ఎలా బయటకు తినడానికి పొందడానికి?
"I am planning to visit Kyoto, and Nara as well.","నేను క్యోటో, మరియు నారాలను కూడా సందర్శించాలని ఆలోచిస్తున్నాను."
Tom looked both ways before crossing the road.,టామ్ రోడ్డు దాటడానికి ముందు రెండు మార్గాలు చూశాడు.
We must stop Tom before he kills himself.,అతను ఆత్మహత్యకు ముందు మేము టామ్ను ఆపాలి.
I love making desserts.,నాకు డెజర్ట్‌లు తయారు చేయడం చాలా ఇష్టం.
Tom's unstoppable.,టోమ్ నిరోధించలేనివాడు.
The water was ice cold.,నీరు మంచు చల్లగా ఉంది.
I'm not sure if I'm going to be able to be there on time.,నేను సమయానికి అక్కడ ఉండగలనా అని నాకు తెలియదు.
Are you staying for dinner?,మీరు విందు కోసం ఉండడానికి?
I am coming from Ahmedabad,నేను అహ్మదాబాద్ నుండి
Why can't Tom leave?,టామ్ ఎందుకు వెళ్ళలేడు?
Tom said you were busy.,టామ్ మీరు బిజీగా ఉన్నారని చెప్పారు.
Where were you yesterday?,మీరు నిన్న ఎక్కడ ఉన్నారు?
Tom said you were busy.,మీరు బిజీగా ఉన్నారని టామ్ చెప్పాడు.
I want you to give a message to Tom.,మీరు టోమ్కు ఒక సందేశాన్ని ఇవ్వాలని నేను కోరుకుంటున్నాను.
He didn't get caught.,అతను చిక్కుకోలేదు.
I'm feeding my baby.,నేను నా బిడ్డను తిండికి ఇస్తున్నాను.
This doesn't happen very often.,ఇది చాలా తరచుగా జరగదు.
Let's not fool ourselves.,మనల్ని మనం మోసం చేసుకోనివ్వండి.
"I saw Tom sitting at the bar alone, drinking wine.",నేను టామ్ను బార్ వద్ద ఒంటరిగా కూర్చుని వైన్ తాగుతున్నట్లు చూశాను.
Is it true that Tom can't see very well out of his left eye?,టామ్ తన ఎడమ కన్ను నుండి బాగా చూడలేడు అనేది నిజమేనా?
Tom is still an amateur.,టామ్ ఇప్పటికీ te త్సాహిక వ్యక్తి.
It's likely a mistake.,ఇది పొరపాటు.
I'm a very lucky man.,నేను చాలా అదృష్టవంతుడిని.
The party finished at nine.,పార్టీ తొమ్మిది గంటలకు ముగిసింది.
Was that Tom you were just talking to?,మీరు ప్రస్తుతం మాట్లాడుతున్న టామ్ ఆడాడాడా?
name,పేరు
Her explanation of the problem was nonsense.,ఆమె సమస్యకు వివరణాత్మకమైనది కాదు.
I remember saying that.,నేను చెప్పినట్లు గుర్తు.
Why,ఎందుకు?
Let's talk about your work.,మీ పని గురించి మాట్లాడుకుందాం.
"You saw them, didn't you?","మీరు వాటిని చూశారు, లేదా?"
It's happening too fast.,ఇది చాలా వేగంగా జరుగుతోంది.
He dug a hole in the garden.,అతను తోట లో ఒక రంధ్రం త్రవ్విన.
Both of my brothers are married.,నా సోదరులు ఇద్దరూ వివాహం చేసుకున్నారు.
"Whether you believe it or not, I want to get this thing over with as much as you do.","మీరు నమ్మండి లేదా కాదు, నేను మీరు చేసిన వంటి ఈ చాలా పొందాలనుకుంటున్నాను."
Tom wants to play tennis with Mary.,టామ్ మేరీతో టెన్నిస్ ఆడాలనుకుంటున్నాడు.
"I'm sorry, you have the wrong number.","క్షమించండి, మీరు తప్పు సంఖ్య వచ్చింది."
I have no time left.,నాకు సమయం లేదు.
Tom went fly fishing with his father.,టామ్ తన తండ్రితో ఫ్లై ఫిషింగ్ వెళ్ళాడు.
I swim in the sea every day.,నేను ప్రతి రోజు సముద్రంలో ఈత.
I'm really sorry about what happened.,ఏమి జరిగిందో నేను నిజంగా క్షమించండి.
I never liked Christmas.,నేను ఎప్పుడూ క్రిస్మస్ ఇష్టం లేదు.
He's a weird guy.,అతను ఒక వింత వ్యక్తి.
Put out your cigarettes.,మీ సిగరెట్స్ ఆఫ్.
I'm glad Tom helped us.,మాకు టోమ్ సహాయం చేసినందుకు నేను సంతోషిస్తున్నాను.
Was Tom the one who told you to do that?,ఆ పని చేయమని టామ్ నీకు చెప్పాడా?
"In New York, the dollar was worth eight shillings.",న్యూయార్క్ లో ఒక డాలర్ విలువ ఎనిమిది షీలింగ్లు.
School was cancelled because of the snow.,మంచు కారణంగా పాఠశాల రద్దు చేయబడింది.
Tom says he's won.,టామ్ తాను గెలిచానని చెప్పాడు.
I got up at 8 o'clock today.,నేను ఉదయం 8 గంటలకు మేల్కొన్నాను.
Tom wants to say hello.,టామ్ హలో చెప్పాలనుకుంటున్నాడు.
Tom is on Mary's side.,టామ్ మేరీ వైపు ఉన్నాడు.
He often gets sick.,అతను తరచుగా అనారోగ్యంతో.
I wish I were rich.,నేను ధనవంతుడు కావాలని అనుకుంటున్నాను.
We shouldn't have bought this car.,మేము ఈ కారు కొనకూడదు.
I made tea for Tom.,నేను టోమ్ కోసం టీ తయారు చేసాను.
Mom did not mention it.,అమ్మ దాని గురించి ప్రస్తావించలేదు.
hungry,ఆకలి
I was very excited.,నేను చాలా ఉత్సాహంగా ఉన్నాను.
Tom was hoping that he could help Mary.,టోమ్ మేరీకి సహాయం చేయగలనని ఆశిస్తాడు.
Tom is a schemer.,టామ్ ఒక స్కీమర్.
He's a weird guy.,అతను విచిత్రమైన వ్యక్తి.
I'm feeding my baby.,నేను నా బిడ్డకు ఆహారం ఇస్తున్నాను.
I don't care what people think.,ప్రజలు ఏమి ఆలోచిస్తున్నారో నాకు పట్టింపు లేదు.
Didn't you know that Tom was planning to go to Australia?,టోమ్ ఆస్ట్రేలియాకు వెళ్లాలని యోచిస్తున్నట్లు మీకు తెలుసా?
I know how it feels.,ఇది ఎలా అనిపిస్తుంది నాకు తెలుసు.
Could you tell me where Tom is?,టామ్ ఎక్కడ ఉన్నారో మీరు నాకు చెప్పగలరా?
This street used to have another name.,ఈ వీధికి మరొక పేరు ఉండేది.
sports,క్రీడలు
I told Tom to go to the police.,నేను టామ్‌ను పోలీసుల వద్దకు వెళ్ళమని చెప్పాను.
start,ప్రారంభం
Remember what we spoke about yesterday.,మేము నిన్న మాట్లాడినదాన్ని గుర్తుంచుకోండి.
Here's where they usually have dinner.,ఇక్కడ వారు సాధారణంగా ఒక విందు కలిగి.
What makes you think that I'm against that?,నేను వ్యతిరేకంగా ఏమి అనుకుంటున్నారు?
I can't stand raw fish.,నేను ముడి చేపలను నిలబడలేను.
Have you spent a lot of time with Tom?,మీరు టోమ్తో చాలా సమయం గడిపారా?
Tom doesn't like competition.,టామ్‌కు పోటీ నచ్చలేదు.
Tom and Mary understood each other.,టామ్ మరియు మేరీ ఒకరినొకరు అర్థం చేసుకున్నారు.
I saw Tom in church today.,నేను ఈ రోజు చర్చిలో టామ్‌ను చూశాను.
I don't think that it means anything.,ఇది ఏదైనా అర్థం లేదు అని నేను అనుకుంటున్నాను.
Her nails are red.,ఆమె గోర్లు ఎరుపు.
Do you remember what time Tom said he'd be here?,టోమ్ తాను ఇక్కడ ఉంటానని చెప్పినప్పుడు మీకు గుర్తుందా?
Take me to the Hilton Hotel.,నన్ను హిల్టన్ హోటల్‌కు తీసుకెళ్లండి.
We're firing you.,మేము మిమ్మల్ని తొలగిస్తున్నాము.
All of the men were dressed similarly to Tom.,పురుషులందరూ టామ్ మాదిరిగానే దుస్తులు ధరించారు.
Suneetha is trying to learn Tamil.,సునీత తమిళం నేర్చుకోవడానికి ప్రయత్నిస్తోంది.
The customer agrees.,కస్టమర్ అంగీకరిస్తుంది.
My father died before I got my diploma.,నా డిప్లొమా రాకముందే నాన్న చనిపోయాడు.
It may rain tomorrow.,రేపు వర్షం పడవచ్చు.
I was unable to control myself any longer.,నేను ఇకపై నాను నియంత్రించలేకపోయాను.
Are you still interested in working for us?,మా కోసం పనిచేయడానికి మీకు ఇంకా ఆసక్తి ఉందా?
Tom and I both live and work in Australia.,టామ్ మరియు నేను ఇద్దరూ ఆస్ట్రేలియాలో నివసిస్తున్నారు మరియు పని చేస్తున్నారు.
Tom doesn't want this.,టామ్‌కు ఇది అక్కరలేదు.
I sat down next to him.,నేను అతని పక్కన కూర్చున్నాను.
Available,అందుబాటులో ఉంది
We think you're right.,మీరు సరైనవారని మేము భావిస్తున్నాము.
Try to focus.,దృష్టి పెట్టడానికి ప్రయత్నించండి.
I wonder who'll come.,ఎవరు వస్తారు అని నేను ఆశ్చర్యపోతున్నాను.
I won't let anybody hurt you.,మిమ్మల్ని ఎవరూ బాధపెట్టనివ్వను.
You were almost in time.,మీరు దాదాపు సమయం లో.
Tom has got nowhere to go.,టామ్ ఎక్కడికీ వెళ్ళలేదు.
We're coming.,మేము లోపలికి వస్తున్నాము.
I don't think Tom killed Mary.,టామ్ మేరీని చంపాడని నేను అనుకోను.
This street used to have another name.,ఈ వీధికి వేరే పేరు ఉంది.
Mary is Tom's daughter-in-law.,మేరీ టోమ్ యొక్క మేనల్లుడు.
The door must not be left open.,తలుపు తెరిచి ఉంచవద్దు.
Tom has a high fever.,టామ్‌కు అధిక జ్వరం ఉంది.
You've probably forgotten about it already.,మీరు ఇప్పటికే దాని గురించి మరచిపోయారు.
The first girl I ever kissed was Mary.,మేరీ నేను ముద్దుపెట్టిన మొదటి అమ్మాయి.
Tom wanted me to help him.,టామ్ నేను అతనికి సహాయం చేయాలనుకున్నాను.
"Cloudy, rainy,sunny","మేఘావృతం, వర్షం, ఎండ"
Tom is in the prime of his life.,టోమ్ తన జీవితానికి కేంద్రంగా ఉన్నాడు.
Shall we take a taxi?,మనం టాక్సీ తీసుకుందా?
He dug a hole in the garden.,అతను తోటలో ఒక రంధ్రం తవ్వించాడు.
Have you spent a lot of time with Tom?,మీరు టామ్‌తో చాలా సమయం గడిపారు?
Are you still interested in working for us?,మీరు ఇప్పటికీ మా కోసం పని అనుకుంటున్నారా?
Tom knows the rules.,టామ్‌కు నియమాలు తెలుసు.
Tom and I are going to the mall.,టామ్ మరియు నేను మాల్‌కు వెళ్తున్నాము.
I value my privacy.,నేను నా ప్రైవేట్ విలువ.
Tom sent Mary to summer camp.,టామ్ మేరీని సమ్మర్ క్యాంప్‌కు పంపాడు.
Come here.,ఇక్కడికి రండి.
Try doing that again.,మళ్ళీ అలా ప్రయత్నించండి.
Tom was smart enough to escape.,టామ్ తప్పించుకునేంత తెలివైనవాడు.
Why didn't you tell me all this before?,ఇవన్నీ మీరు ఇంతకు ముందు ఎందుకు నాకు చెప్పలేదు?
Tom plays the piano very well.,టామ్ బాగా పియానో ఆడాడు.
Tom gave a famous singer ten thousand dollars to come to the restaurant to sing Happy Birthday.,టామ్ ఒక ప్రసిద్ధ గాయకుడికి పదివేల డాలర్లు ఇచ్చాడు మరియు హ్యాపీ బర్త్ డే పాడటానికి రెస్టారెంట్కు వచ్చాడు.
Tom is a talented young man.,టామ్ ఒక ప్రతిభావంతులైన యువకుడు.
"OK, I think we can begin.","సరే, మేము ప్రారంభించవచ్చు అనుకుంటున్నాను."
A temple is a building reserved for spiritual rituals and activities such as prayer and sacrifice.,ఆలయం అనేది ప్రార్థన మరియు త్యాగం వంటి ఆధ్యాత్మిక ఆచారాలకు మరియు కార్యకలాపాలకు అంకితమైన భవనం.
Tom knew that Mary was awake.,మేరీ మేల్కొని ఉన్నాడని టామ్కు తెలుసు.
Take over.,స్వాధీనం చేసుకోండి.
He always took a seat in the front row.,అతను ఎప్పుడూ ముందు వరుసలో ఒక సీటు తీసుకున్నాడు.
The group was made up of four young men.,ఈ బృందం నలుగురు యువకుల నుంచే ఏర్పడుతుంది.
Did they ever find Tom?,వారు ఎప్పుడైనా టామ్‌ను కనుగొన్నారా?
Can you tell us what it is?,అది ఏమిటో మాకు చెప్పగలరా?
Tom said he wondered if Mary and I'd be able to do that by ourselves.,మేరీ మరియు నేను మేమే చేయగలమా అని ఆలోచిస్తున్నారని టామ్ చెప్పాడు.
I'm not going to tell Tom anything.,నేను టోమ్కు ఏమీ చెప్పను.
It was impossible to find an answer.,సమాధానం కనుగొనడం అసాధ్యం.
I shouldn't have invited Tom to the party.,నేను టామ్‌ను పార్టీకి ఆహ్వానించకూడదు.
I know you can't wait.,మీరు వేచి కాదు తెలుసు.
Is Tom smarter than you?,టామ్ మీకన్నా తెలివైనవాడా?
Where can I exchange foreign currency?,నేను విదేశీ కరెన్సీని ఎక్కడ మార్పిడి చేసుకోగలను?
Her nails are red.,ఆమె గోర్లు ఎర్రగా ఉన్నాయి.
I closed the door.,నేను తలుపు లాక్.
I value my privacy.,నా గోప్యతకు నేను విలువ ఇస్తున్నాను.
Maybe we should stop at a gas station to ask for directions.,ఆదేశాలు అడగడానికి మనం గ్యాస్ స్టేషన్ వద్ద ఆగాలి.
I'm not sure if I'm going to be able to be there on time.,నేను అక్కడ సమయం లో పొందవచ్చు లేదో తెలియదు.
The temple is one of the oldest and most prominent temples in Nellore.,ఈ ఆలయం నెల్లూరు లోని పురాతనమైన మరియు ప్రముఖమైన ఆలయాలలో ఒకటి.
I think you should leave well enough alone.,మీరు ఒంటరిగా తగినంతగా వదిలివేయాలని నేను అనుకుంటున్నాను.
Should I quit my job?,నేను నా ఉద్యోగం వదిలి ఉండాలి?
I'd have told you that.,నేను మీకు చెప్పాను.
Tom didn't need to wait.,టామ్ వేచి ఉండాల్సిన అవసరం లేదు.
They sat down.,వారు కూర్చున్నారు.
I know that Tom was first.,టామ్ మొదటివాడు అని నాకు తెలుసు.
I'm in the eleventh grade.,నేను పదకొండవ తరగతి లో ఉన్నాను.
What did you cook for dinner?,విందు కోసం మీరు ఏమి వండుకున్నారు?
There are some differences.,కొన్ని తేడాలు ఉన్నాయి.
What do I have to say to convince you?,మిమ్మల్ని ఒప్పించటానికి నేను ఏమి చెప్పాలి?
I'm in the eleventh grade.,నేను పదకొండవ తరగతిలో ఉన్నాను.
How do you like that?,మీరు ఎలా అది ఇష్టం?
Is that enough?,అది తగినంత?
Tom showed Mary the scar on his leg.,టామ్ మేరీకి తన కాలు మీద ఉన్న మచ్చను చూపించాడు.
Does that window open?,ఆ విండో తెరుచుకుంటుందా?
"You live here alone, don't you?","మీరు ఒంటరిగా ఇక్కడ నివసిస్తున్నారు, మీరు కాదు?"
We had a chance.,మాకు అవకాశం వచ్చింది.
Tom got in his car and left.,టామ్ తన కారులో దిగి వెళ్ళిపోయాడు.
I need to go to the bank.,నేను బ్యాంకుకు వెళ్లాలి.
You always said you wanted to become a teacher.,మీరు గురువు కావాలని మీరు ఎప్పుడూ చెప్పారు.
I have cut my finger.,నేను నా వేలు కత్తిరించాను.
I didn't swim because it was too cold.,నేను ఈత కొట్టలేదు ఎందుకంటే చల్లగా ఉంది.
I had lunch with Tom today.,నేను ఈ రోజు టోమ్తో భోజనం చేశాను.
We were eating apples.,మేము ఆపిల్ల తింటున్నాము.
It's obsolete.,ఇది వాడుకలో లేదు.
He must be a good walker to have walked such a long distance.,అతను ఈ దూరం నడవడానికి ఒక మంచి వాకర్ ఉండాలి.
"If Tom wasn't so stupid, he would've understood quicker.","టామ్ అంత తెలివితక్కువవాడు కాకపోతే, అతను త్వరగా అర్థం చేసుకున్నాడు."
It can enhance creativity by encouraging players to think outside the box and explore different strategies and ideas.,ఇది పెట్టె వెలుపల ఆలోచించడానికి మరియు విభిన్న వ్యూహాలు మరియు ఆలోచనలను అన్వేషించడానికి ఆటగాళ్లను ప్రోత్సహించడం ద్వారా సృజనాత్మకతను మెరుగుపరుస్తుంది.
Very very good,చాలా చాలా మంచి
Why didn't Tom tell us?,టామ్ మాకు ఎందుకు చెప్పలేదు?
I'm wasting my time.,నేను నా సమయాన్ని వృధా చేస్తున్నాను.
Tom cut off Mary's head.,టోమ్ మేరీ తల కత్తిరించాడు.
telugu grammer,తెలుగు వ్యాకరణం
We have a complete set of the recordings of Beethoven's symphonies.,మేము బెథోవెన్ యొక్క సింఫోని రికార్డింగ్స్ పూర్తి సెట్ కలిగి.
He is a man of his word.,అతను తన మాట మనిషి.
She's busy.,ఆమె బిజీగా ఉంది.
Tom and I have nothing to hide.,టామ్ మరియు నేను దాచడానికి ఏమీ లేదు.
I can assure you that you are wrong.,మీరు తప్పు అని నేను మీకు భరోసా ఇవ్వగలను.
Can somebody get me a towel?,ఎవరైనా నాకు టవల్ తీసుకోవచ్చా?
I respect you for what you have done.,మీరు చేసినందుకు నేను మీకు గౌరవం ఇస్తాను.
Where do I sign up?,నేను ఎక్కడ సైన్ అప్ చేయాలి?
Didn't you know that Tom and I needed to do that?,టామ్ మరియు నేను అలా చేయాల్సిన అవసరం ఉందని మీకు తెలుసా?
You're welcome to any book in my library.,నా లైబ్రరీ లో ఏ పుస్తకం స్వాగతం.
We drank a lot of coffee.,మేము చాలా కాఫీ తాగాము.
Can she come in time?,ఆమె సమయానికి చేరుకుంటుంది?
Asia is roughly four times the size of Europe.,ఆసియా యూరప్ కంటే నాలుగు రెట్లు ఎక్కువ.
You probably just have a cold.,మీరు ఒక చల్లని కలిగి ఉండవచ్చు.
He got up at eight in the morning.,అతను ఉదయం ఎనిమిది గంటలకు లేచి.
How could I've let that happen?,నేను ఎలా అలా చేయగలను?
That's a stupid rule.,ఇది ఒక తెలివితక్కువ నియమం.
Is it true that Tom can't see very well out of his left eye?,టామ్ తన ఎడమ కన్నుతో బాగా చూడలేడు అనేది నిజం?
The customer is not always right.,కస్టమర్ ఎల్లప్పుడూ సరైనది కాదు.
We will now report on this year's business results.,ఈ సంవత్సరం వ్యాపార ఫలితాల గురించి ఇప్పుడు నివేదిస్తాం.
What were we thinking?,మేము ఏమి ఆలోచిస్తున్నాము?
It is one of the most visited pilgrimage sites in the world.,ప్రపంచంలో అత్యధికంగా సందర్శించే తీర్థయాత్రలలో ఇది ఒకటి.
Take over.,తీసుకోండి.
Students should develop their reading skills.,విద్యార్థులు తమ పఠన నైపుణ్యాలను పెంపొందించుకోవాలి.
Tom thinks we're dead.,మేము చనిపోయినట్లు టామ్ భావిస్తాడు.
I want to wash my hair.,నేను నా జుట్టు కడగడం అవసరం.
Tom continued digging.,టామ్ తవ్వడం కొనసాగించాడు.
Tom didn't want to admit he was scared.,టామ్ తాను భయపడ్డానని ఒప్పుకోవటానికి ఇష్టపడలేదు.
Tom doesn't like competition.,టోమ్ పోటీని ఇష్టపడలేదు.
How do you like that?,మీకు అది ఎలా ఇష్టం?
"Hey, get your hands off me.","హే, మీ చేతులు నా నుండి తీసివేయండి."
Smoke filled the room.,పొగ గదిని నింపింది.
About how much will it cost?,ఎంత అది ఖర్చు?
Things changed after that.,ఆ తర్వాత పరిస్థితులు మారిపోయాయి.
Tom is their leader.,టామ్ వారి నాయకుడు.
He came back home a while ago.,అతను కొద్దిసేపటి క్రితం ఇంటికి తిరిగి వచ్చాడు.
Tom pointed to his chest.,టోమ్ తన ఛాతీ వైపు చూపాడు.
The air conditioner doesn't work.,ఎయిర్ కండీషనర్ పనిచేయడం లేదు.
"Odd, isn't it? We should have already arrived.","ఇది వింత, కుడి?"
I'm glad Tom helped us.,టామ్ మాకు సహాయం చేసినందుకు నేను సంతోషిస్తున్నాను.
Tom loaded the truck with sand.,టామ్ ఇసుకతో ట్రక్కును ఎక్కించాడు.
I had a good time.,నాకు మంచి సమయం వచ్చింది.
Tom can't whistle.,టామ్ ఈల వేయలేడు.
That's probably what they'll say.,బహుశా వారు చెప్పేది అదే.
Tom has earned a lot of money.,టామ్ చాలా డబ్బు సంపాదించాడు.
You've probably forgotten about it already.,మీరు ఇప్పటికే దాని గురించి మర్చిపోయారు.
You're turning red.,మీరు ఎరుపు మారుతున్నాయి.
I've read somewhere that it's not true.,ఇది నిజం కాదని నేను ఎక్కడో చదివాను.
It's almost October.,ఇది దాదాపు అక్టోబర్.
The police can't stop this.,పోలీసులు దీనిని ఆపలేరు.
Several ships are stuck in sea ice in Antarctica.,అంటార్కిటికాలో అనేక నౌకలు సముద్రపు మంచులో చిక్కుకున్నాయి.
The only spice Tom puts on meat is pepper.,టామ్ మాంసం మీద ఉంచే మసాలా మిరియాలు మాత్రమే.
"Mary is a pretty girl, isn't she?","మేరీ ఒక అందమైన అమ్మాయి, ఆమె కాదు?"
Tom seems bored.,టామ్ విసుగు చెందినట్లుంది.
He must be a good walker to have walked such a long distance.,ఇంత దూరం నడవడానికి అతను మంచి వాకర్ అయి ఉండాలి.
Did you really dream about me?,మీరు నిజంగా నా గురించి కలలు కన్నారా?
Why don't we have dinner?,ఎందుకు మేము ఒక విందు లేదు?
Tom fell through the ice.,టోమ్ మంచు ద్వారా పడిపోయాడు.
Why didn't Tom tell us?,టామ్ మాకు ఎందుకు చెప్పలేదు?
"I'm sorry, but could you move over a bit so I have room to sit?","నన్ను క్షమించండి, కానీ మీరు కూర్చోవడానికి స్థలం ఉన్నందున మీరు కొంచెం ముందుకు వెళ్ళగలరా?"
end,సంవత్సరం ముగింపు
Tom and Mary are both right.,టామ్ మరియు మేరీ ఇద్దరూ సరైనవారు.
Don't you watch movies?,మీరు సినిమాలు చూడలేరు?
You did your job well.,మీరు మీ పని బాగా చేసారు.
Tom told us he loved skiing.,మేము స్కీయింగ్ను ప్రేమిస్తున్నామని టామ్ చెప్పాడు.
I made tea for Tom.,నేను టామ్ కోసం టీ తయారు చేసాను.
You shouldn't trust anything Tom says.,మీరు టోమ్ చెప్పిన ప్రతిదాన్ని నమ్మకూడదు.
I like your work.,నేను మీ పని ప్రేమ.
Tom said that he needed a rest.,తనకు విశ్రాంతి అవసరమని టామ్ చెప్పాడు.
I don't remember mailing the letter.,నాకు లేఖ మెయిల్ చేయడం గుర్తులేదు.
I want to make some changes.,నేను కొన్ని మార్పులు చేయాలనుకుంటున్నాను.
I'm quite lazy.,నేను చాలా బద్ధకంగా ఉన్నాను.
Some people think that hang gliding is a dangerous sport.,కొంతమంది హాంగ్ గ్లైడింగ్ ప్రమాదకరమైన క్రీడ అని భావిస్తారు.
Ain't that cute?,అది క్యూట్ కాదా?
Tom cut his sister a piece of cake.,టోమ్ తన సోదరి కోసం ఒక కట్ కేక్ ముక్క కట్.
Tom visited Mary.,టోమ్ మేరీని సందర్శించాడు.
Tom and I walk to school together every morning.,టామ్ మరియు నేను ప్రతి ఉదయం కలిసి పాఠశాలకు నడుస్తాము.
Where do you plan to spend the summer?,మీరు వేసవి ఎక్కడ గడపాలని ప్లాన్ చేస్తారు?
Tom says he's won.,అతను గెలిచినట్లు టామ్ చెప్పాడు.
I didn't know you'd be jealous.,మీరు అసూయ ఉన్నాయి తెలియదు.
My father says he's planning to buy me a horse.,నా తండ్రి అతను నాకు ఒక గుర్రం కొనుగోలు ప్లాన్ చెప్పారు.
We're at home today.,మేము ఈ రోజు ఇంట్లో ఉన్నాము.
"Lata Mangeshkar is a legendary Indian playback singer who has sung in over a thousand Hindi films, as well as in various other Indian and foreign languages.","లతా మంగేష్కర్ ఒక పురాణ భారతీయ ప్లేబ్యాక్ గాయకుడు, ఆమె వేయికి పైగా హిందీ చిత్రాలలో, అలాగే అనేక ఇతర భారతీయ మరియు విదేశీ భాషలలో పాడాడు."
That's precisely what Tom did.,టామ్ చేసినది అదే.
You must try and come to the party.,మీరు పార్టీకి వచ్చి ప్రయత్నించండి ఉండాలి.
Everybody knew that she was being pushy.,ఆమె పుషీ అవుతోందని అందరికీ తెలుసు.
Everybody knows that he is honest.,అతను నిజాయితీగా ఉన్నట్లు అందరికీ తెలుసు.
Mary is a brave woman.,మేరీ ధైర్యంగా ఉంది.
Tom looks dreadful.,టామ్ భయంకరంగా కనిపిస్తాడు.
The owl gave a loud screech.,గుడ్లగూబ పెద్ద శబ్దం ఇచ్చింది.
What did you cook for dinner?,మీరు విందు కోసం ఏమి ఉడికించాలి?
Tom couldn't believe that someone wanted to kill him.,ఎవరైనా అతన్ని చంపాలని కోరుకున్నారని టోమ్ నమ్మలేకపోయాడు.
They'll do what I tell them to do.,నేను చెప్పినట్లు వారు చేస్తారు.
Tom was hoping that he could help Mary.,టామ్ మేరీకి సహాయం చేయగలడని ఆశతో ఉన్నాడు.
He is capable of teaching French.,అతను ఫ్రెంచ్ బోధించే సామర్థ్యం కలిగి ఉంటాడు.
Tom can't decide which approach to take.,టోమ్ ఏ విధానాన్ని తీసుకోవాలో నిర్ణయించలేడు.
I think Tom played well.,టామ్ బాగా ఆడాడు.
Tell Tom that I'll prune his trees for him.,నేను అతని చెట్లను కత్తిరించేవాడిని అని టామ్కు చెప్పండి.
He is the oldest of them all.,వాటన్నిటిలో ఆయన పెద్దవాడు.
Don't panic!,భయపడవద్దు!
Tom has a kind heart.,టామ్ దయగల హృదయాన్ని కలిగి ఉన్నాడు.
She told me you were sick.,మీరు అనారోగ్యంతో ఉన్నారని ఆమె నాకు చెప్పారు.
Tom showed Mary the scar on his leg.,టోమ్ తన కాళ్ళపై ఉన్న స్థలాన్ని మేరీకి చూపించాడు.
I've read somewhere that it's not true.,ఇది నిజం కాదని నేను ఎక్కడో చదివాను.
"You always talk back to me, don't you?","మీరు ఎల్లప్పుడూ నాతో తిరిగి మాట్లాడతారు, లేదా?"
The city has a railway station that is part of the South Central Railway network.,నగరంలో దక్షిణ మధ్య రైల్వే నెట్‌వర్క్‌లో భాగమైన రైల్వే స్టేషన్ ఉంది.
I knew you wouldn't want to go with us.,మీరు మాతో వెళ్లాలని అనుకోరని నాకు తెలుసు.
I want to write this down.,నేను దీనిని వ్రాయాలనుకుంటున్నాను.
How are you,మీరు ఎలా ఉన్నారు
Where do I sign up?,నేను ఎక్కడ నమోదు చేయాలి?
Shall we take a taxi?,మేము ఒక టాక్సీ తీసుకోవాలని?
Put it on my tab.,నా ఖాతాలోకి చాలు.
Let's leave as soon as he gets back.,అతను తిరిగి రాగానే బయలుదేరదాం.
Please forgive me. I didn't mean to be rude.,దయచేసి నన్ను క్షమించు.
I wasn't able to find Tom anywhere.,నేను ఎక్కడైనా టోమ్ను కనుగొనలేకపోయాను.
I've already spoken to Tom about that.,నేను ఇప్పటికే టామ్‌తో దాని గురించి మాట్లాడాను.
I warned Tom not to come here.,టామ్‌ను ఇక్కడికి రానివ్వమని హెచ్చరించాను.
Tom gave a famous singer ten thousand dollars to come to the restaurant to sing Happy Birthday.,టామ్ ఒక ప్రసిద్ధ గాయకుడికి పది వేల డాలర్లు ఇచ్చి హ్యాపీ బర్త్ డే పాడటానికి రెస్టారెంట్‌కు వచ్చాడు.
Don't panic!,భయపడకు!
Questions and answers,"""నీతిమంతులు"" అనే పదానికి అర్థం ఏమిటి?"
