en,te
Is everyone against him?,అందరూ ఆయనకు వ్యతిరేకంగా ఉన్నారా?
I'll be in the basement.,నేను నేలమాళిగలో ఉంటాను.
I want Tom to read this.,టామ్ దీన్ని చదవాలని నేను కోరుకుంటున్నాను.
Don't make eye contact.,కంటికి పరిచయం చేయవద్దు.
Could you tell me where Tom is?,టామ్ ఎక్కడ ఉన్నారో మీరు నాకు చెప్పగలరా?
You're my boss.,నువ్వు నా బాస్.
Never hesitate to tell the truth.,నిజం చెప్పడానికి ఎప్పుడూ వెనుకాడరు.
Tom has got nowhere to go.,టామ్ ఎక్కడికి వెళ్ళలేదు.
Tom is their leader.,టామ్ వారి నాయకుడు.
The lighting blinded me for a while.,లైటింగ్ కాసేపు నన్ను కళ్ళుమూసుకుంది.
Could you show me this bag?,మీరు ఈ బ్యాగ్ నాకు చూపించగలరా?
Tom and I are planning on getting married on October 20th.,టామ్ మరియు నేను అక్టోబర్ 20 న వివాహం చేసుకోవాలని యోచిస్తున్నాము.
I've been to the supermarket.,నేను సూపర్ మార్కెట్‌కు వెళ్లాను.
He is now almost as tall as his father is.,అతను ఇప్పుడు తన తండ్రి ఉన్నంత ఎత్తులో ఉన్నాడు.
I was unable to control myself any longer.,నేను ఇకపై నన్ను నియంత్రించలేకపోయాను.
Try doing that again.,మళ్ళీ అలా ప్రయత్నించండి.
This dish is too spicy.,ఈ వంటకం చాలా కారంగా ఉంటుంది.
Tom told me I shouldn't talk to you.,నేను మీతో మాట్లాడకూడదని టామ్ చెప్పాడు.
How many people are on board the ship?,ఓడలో ఎంత మంది ఉన్నారు?
Was that Tom you were just talking to?,ఆ టామ్ మీరు ఇప్పుడే మాట్లాడుతున్నారా?
Don't tell my wife that.,నా భార్యకు అలా చెప్పకండి.
Tom looked out the window and saw Mary.,టామ్ కిటికీలోంచి చూస్తూ మేరీని చూశాడు.
Tom is most likely eating now.,టామ్ ఇప్పుడు ఎక్కువగా తినడం.
Can you translate this manuscript from French to English?,మీరు ఈ మాన్యుస్క్రిప్ట్‌ను ఫ్రెంచ్ నుండి ఇంగ్లీషులోకి అనువదించగలరా?
The only spice Tom puts on meat is pepper.,టామ్ మాంసం మీద ఉంచే మసాలా మిరియాలు మాత్రమే.
Tom says his left leg hurts.,తన ఎడమ కాలు బాధిస్తుందని టామ్ చెప్పాడు.
I heard that he left town and moved east.,అతను పట్టణం వదిలి తూర్పుకు వెళ్ళాడని నేను విన్నాను.
We were kids together.,మేము కలిసి పిల్లలు.
Isn't that the Golden Gate Bridge?,అది గోల్డెన్ గేట్ వంతెన కాదా?
There's almost no milk left in the glass.,గాజులో దాదాపు పాలు లేవు.
Tom called me this afternoon.,టామ్ ఈ మధ్యాహ్నం నన్ను పిలిచాడు.
Tom read Mary a bedtime story.,టామ్ మేరీకి నిద్రవేళ కథ చదివాడు.
There's the bell.,గంట ఉంది.
Are you good at remembering faces?,మీరు ముఖాలను గుర్తుంచుకోవడంలో మంచివా?
Tom and Mary wanted to be together.,టామ్ మరియు మేరీ కలిసి ఉండాలని కోరుకున్నారు.
Tom's wicked.,టామ్ యొక్క దుష్ట.
You must try and come to the party.,మీరు తప్పక ప్రయత్నించాలి మరియు పార్టీకి రావాలి.
"You saw them, didn't you?","మీరు వాటిని చూశారు, లేదా?"
The doctor took his pulse.,డాక్టర్ అతని పల్స్ తీసుకున్నాడు.
We're thinking about putting our house up for sale.,మేము మా ఇంటిని అమ్మకానికి పెట్టడం గురించి ఆలోచిస్తున్నాము.
Would you please pour me a cup of coffee?,దయచేసి నాకు ఒక కప్పు కాఫీ పోయాలా?
We kept together for safety.,మేము భద్రత కోసం కలిసి ఉంచాము.
Tom is eating a cake.,టామ్ కేక్ తింటున్నాడు.
"Odd, isn't it? We should have already arrived.","బేసి, కాదా?"
"Mary's not pretty, but she isn't ugly, either.","మేరీ అందంగా లేదు, కానీ ఆమె అగ్లీ కాదు."
"I'm sorry, you have the wrong number.","క్షమించండి, మీకు తప్పు సంఖ్య ఉంది."
He is a man of his word.,అతను తన మాటలోని వ్యక్తి.
He always took a seat in the front row.,అతను ఎప్పుడూ ముందు వరుసలో ఒక సీటు తీసుకున్నాడు.
The pond has frozen over.,చెరువు స్తంభింపజేసింది.
I know the boy.,నాకు అబ్బాయి తెలుసు.
He was not about to admit his mistake.,అతను తన తప్పును అంగీకరించడం లేదు.
I don't think I can do everything by myself.,నేను ప్రతిదాన్ని స్వయంగా చేయగలనని నేను అనుకోను.
I suppose you'll be studying all day tomorrow.,మీరు రేపు రోజంతా చదువుతారని అనుకుందాం.
Mary is Tom's daughter-in-law.,మేరీ టామ్ యొక్క అల్లుడు.
I'll go if you will.,మీరు కోరుకుంటే నేను వెళ్తాను.
Tom tried to hide his confusion.,టామ్ తన గందరగోళాన్ని దాచడానికి ప్రయత్నించాడు.
You're turning red.,మీరు ఎరుపు రంగులోకి మారుతున్నారు.
"I will accept the work, provided that you help me.",మీరు నాకు సహాయం చేస్తే నేను పనిని అంగీకరిస్తాను.
Tom didn't seem happy to see me.,టామ్ నన్ను చూడటం సంతోషంగా అనిపించలేదు.
My watch loses three minutes a week.,నా గడియారం వారానికి మూడు నిమిషాలు కోల్పోతుంది.
Why can't Tom leave?,టామ్ ఎందుకు వెళ్ళలేడు?
The poor girl went blind.,పేద అమ్మాయి అంధురాలైంది.
I found out something interesting today.,నేను ఈ రోజు ఆసక్తికరమైన విషయం కనుగొన్నాను.
Tom loaded the truck with sand.,టామ్ ఇసుకతో ట్రక్కును ఎక్కించాడు.
They don't understand me when I speak German.,నేను జర్మన్ మాట్లాడేటప్పుడు వారు నన్ను అర్థం చేసుకోరు.
"Tom is the only person who can do that, I think.","టామ్ మాత్రమే అలా చేయగలడు, నేను అనుకుంటున్నాను."
I know why Tom agreed to do that.,టామ్ ఎందుకు అలా అంగీకరించాడో నాకు తెలుసు.
Tom turned down the radio.,టామ్ రేడియోను తిరస్కరించాడు.
She was asked not to speak at the meeting.,సమావేశంలో మాట్లాడవద్దని ఆమెను కోరారు.
I'm not sure if I'm going to be able to be there on time.,నేను సమయానికి అక్కడ ఉండగలనా అని నాకు తెలియదు.
The damage was covered by insurance.,నష్టం భీమా పరిధిలోకి వచ్చింది.
There was a bridge across each river.,ప్రతి నదికి ఒక వంతెన ఉండేది.
I've got a little problem.,నాకు కొద్దిగా సమస్య వచ్చింది.
Tom can't afford to buy a yacht.,టామ్ ఒక పడవ కొనడానికి భరించలేడు.
The policeman put handcuffs on Tom.,పోలీసు టామ్‌పై హస్తకళలు పెట్టాడు.
I value my privacy.,నా గోప్యతకు నేను విలువ ఇస్తున్నాను.
Stop protecting me.,నన్ను రక్షించడం ఆపు.
Please accept my apology.,దయచేసి నా క్షమాపణను అంగీకరించండి.
I've already spoken to Tom about that.,నేను ఇప్పటికే టామ్‌తో దాని గురించి మాట్లాడాను.
I wonder if Tom would really do something like that.,టామ్ నిజంగా అలాంటిదే చేస్తాడా అని నేను ఆశ్చర్యపోతున్నాను.
Tom taught me to play chess.,టామ్ నాకు చెస్ ఆడటం నేర్పించాడు.
I just got here this morning.,నేను ఈ ఉదయం ఇక్కడకు వచ్చాను.
Tom is between jobs.,టామ్ ఉద్యోగాల మధ్య ఉన్నాడు.
Tom certainly knew about the problem.,టామ్ ఖచ్చితంగా సమస్య గురించి తెలుసు.
"OK, I think we can begin.","సరే, మనం ప్రారంభించవచ్చని అనుకుంటున్నాను."
My grandfather has gray hair.,నా తాతకు బూడిద జుట్టు ఉంది.
Could you give me a lift home?,మీరు నాకు లిఫ్ట్ హోమ్ ఇవ్వగలరా?
The librarian looked quite sick.,లైబ్రేరియన్ చాలా అనారోగ్యంగా కనిపించాడు.
How much money do you think Tom makes?,టామ్ ఎంత డబ్బు సంపాదించాడని మీరు అనుకుంటున్నారు?
Tom wants to end this.,టామ్ దీనిని అంతం చేయాలనుకుంటున్నాడు.
Tom is still learning the rules.,టామ్ ఇప్పటికీ నియమాలను నేర్చుకుంటున్నాడు.
How could I've let that happen?,నేను దానిని ఎలా చేయగలను?
It's there now.,ఇది ఇప్పుడు ఉంది.
Not a sound was heard.,శబ్దం వినబడలేదు.
Tom knew I was jealous.,టామ్ నాకు అసూయ ఉందని తెలుసు.
I don't care what people think.,ప్రజలు ఏమనుకుంటున్నారో నేను పట్టించుకోను.
I've read somewhere that it's not true.,ఇది నిజం కాదని నేను ఎక్కడో చదివాను.
He put salt into his cup of coffee by mistake.,అతను పొరపాటున తన కప్పు కాఫీలో ఉప్పు వేశాడు.
I'll arrive on October 20th.,నేను అక్టోబర్ 20 న వస్తాను.
What's the worst thing that could happen?,జరిగే చెత్త విషయం ఏమిటి?
Tom seems bored.,టామ్ విసుగు చెందినట్లుంది.
Can I offer a suggestion?,నేను సలహా ఇవ్వవచ్చా?
Do you have a piano?,మీకు పియానో ఉందా?
I ran to school.,నేను బడికి పరిగెత్తాను.
You're standing on my foot.,మీరు నా పాదాల మీద నిలబడి ఉన్నారు.
Let's leave as soon as he gets back.,అతను తిరిగి రాగానే బయలుదేరదాం.
Where's it used?,ఇది ఎక్కడ ఉపయోగించబడింది?
You've probably forgotten about it already.,మీరు ఇప్పటికే దాని గురించి మరచిపోయారు.
You shouldn't let him get away with cheating.,మీరు అతన్ని మోసంతో తప్పించుకోకూడదు.
We have to get out of here fast.,మేము వేగంగా ఇక్కడి నుండి బయటపడాలి.
Tom can't answer.,టామ్ సమాధానం చెప్పలేడు.
The cat is in the box.,పిల్లి పెట్టెలో ఉంది.
You were treated unfairly.,మీకు అన్యాయంగా ప్రవర్తించారు.
It's obsolete.,ఇది వాడుకలో లేదు.
What's the fastest way to get to the airport?,విమానాశ్రయానికి చేరుకోవడానికి వేగవంతమైన మార్గం ఏమిటి?
Tom didn't know Mary wanted him to help her.,మేరీ తనకు సహాయం చేయాలని టామ్కు తెలియదు.
I don't have a lot of patients.,నాకు చాలా మంది రోగులు లేరు.
Tom will need your help.,టామ్‌కు మీ సహాయం కావాలి.
I think I speak French about as well as Tom does.,నేను టామ్ గురించి ఫ్రెంచ్ మాట్లాడతాను.
"In New York, the dollar was worth eight shillings.",న్యూయార్క్‌లో డాలర్ విలువ ఎనిమిది షిల్లింగ్‌లు.
Look what I found on my way home.,ఇంటికి వెళ్ళేటప్పుడు నేను కనుగొన్నదాన్ని చూడండి.
We will now report on this year's business results.,మేము ఇప్పుడు ఈ సంవత్సరం వ్యాపార ఫలితాలపై నివేదిస్తాము.
This will take some time.,దీనికి కొంత సమయం పడుతుంది.
It took me several hours to paint that room.,ఆ గదిని చిత్రించడానికి నాకు చాలా గంటలు పట్టింది.
We know what to expect.,ఏమి ఆశించాలో మాకు తెలుసు.
Did you really dream about me?,మీరు నిజంగా నా గురించి కలలు కన్నారా?
You probably just have a cold.,మీకు జలుబు ఉండవచ్చు.
Tom says he was fired.,టామ్ తనను తొలగించారని చెప్పారు.
Please stay inside.,దయచేసి లోపల ఉండండి.
Can you please tell me where the restaurant is?,దయచేసి రెస్టారెంట్ ఎక్కడ ఉందో చెప్పగలరా?
Don't you feel cold?,మీకు చలి అనిపించలేదా?
Can she come in time?,ఆమె సమయానికి రాగలదా?
You can't know that.,అది మీకు తెలియదు.
I'll dream about you.,నేను మీ గురించి కలలు కంటున్నాను.
The customer is not always right.,కస్టమర్ ఎల్లప్పుడూ సరైనది కాదు.
I have things on my mind.,నా మనస్సులో విషయాలు ఉన్నాయి.
All of the men were dressed similarly to Tom.,పురుషులందరూ టామ్ మాదిరిగానే దుస్తులు ధరించారు.
I've burnt the toast.,నేను తాగడానికి కాల్చాను.
That was an experience.,అది ఒక అనుభవం.
I hate myself.,నన్ను నేను ద్వేషిస్తున్నాను.
I told Tom you'd wait.,నేను వేచి ఉండాలని టామ్ కి చెప్పాను.
Tom started packing his suitcase.,టామ్ తన సూట్‌కేస్‌ను ప్యాక్ చేయడం ప్రారంభించాడు.
I've been expecting your call.,నేను మీ కాల్‌ను ఆశిస్తున్నాను.
I wish she had come last night.,ఆమె గత రాత్రి వచ్చిందని నేను కోరుకుంటున్నాను.
I had a good time.,నాకు మంచి సమయం వచ్చింది.
It soon began to rain very hard.,త్వరలోనే చాలా కష్టపడి వర్షం పడటం ప్రారంభమైంది.
I don't care what will become of me.,నాలో ఏమి జరుగుతుందో నేను పట్టించుకోను.
Please lock the door.,దయచేసి తలుపు లాక్ చేయండి.
I know that Tom was first.,టామ్ మొదటివాడు అని నాకు తెలుసు.
I think I need braces.,నాకు కలుపులు అవసరమని అనుకుంటున్నాను.
Have you ever climbed Mt. Fuji?,మీరు ఎప్పుడైనా మౌంట్ ఎక్కారా?
I'll call back soon.,నేను త్వరలో తిరిగి పిలుస్తాను.
What makes you think that I'm against that?,నేను దీనికి వ్యతిరేకం అని మీరు ఏమనుకుంటున్నారు?
We have a complete set of the recordings of Beethoven's symphonies.,బీతొవెన్ యొక్క సింఫొనీల రికార్డింగ్‌ల పూర్తి సెట్ మాకు ఉంది.
She's thirty-three.,ఆమె ముప్పై మూడు.
Tom said he'll wait.,టామ్ అతను వేచి ఉంటానని చెప్పాడు.
He lost his temper and shouted at me.,అతను నిగ్రహాన్ని కోల్పోయాడు మరియు నాపై అరిచాడు.
Does Tom really have a girlfriend?,టామ్‌కు నిజంగా స్నేహితురాలు ఉందా?
There are some differences.,కొన్ని తేడాలు ఉన్నాయి.
It's pretty amazing.,ఇది చాలా అద్భుతంగా ఉంది.
To lose face means to be humiliated.,ముఖం కోల్పోవడం అంటే అవమానించడం.
Everybody knows that he is honest.,అతను నిజాయితీపరుడని అందరికీ తెలుసు.
I want to make some changes.,నేను కొన్ని మార్పులు చేయాలనుకుంటున్నాను.
It's going to be a long trip.,ఇది సుదీర్ఘ యాత్ర కానుంది.
It just won't work.,ఇది పనిచేయదు.
Enjoy yourself.,సంతోషంగా ఉండు.
I'm not going to sing.,నేను పాడటానికి వెళ్ళడం లేదు.
I didn't know Tom was at home.,టామ్ ఇంట్లో ఉన్నట్లు నాకు తెలియదు.
Tom and Mary said they'd be a bit late.,టామ్ మరియు మేరీ కొంచెం ఆలస్యం అవుతారని చెప్పారు.
Is that enough?,అది సరిపోతుందా?
Choose one.,ఒకటి ఎంచుకోండి.
Tom doesn't know how sick Mary is.,మేరీ ఎంత అనారోగ్యంతో ఉన్నారో టామ్‌కు తెలియదు.
Their house is near here.,వారి ఇల్లు ఇక్కడ ఉంది.
Tom didn't want to admit he was scared.,టామ్ తాను భయపడ్డానని ఒప్పుకోవటానికి ఇష్టపడలేదు.
The door must not be left open.,తలుపు తెరిచి ఉంచకూడదు.
The Normans conquered England in 1066.,నార్మన్లు 1066 లో ఇంగ్లాండ్‌ను జయించారు.
He dug a hole in the garden.,అతను తోటలో ఒక రంధ్రం తవ్వించాడు.
Tom is going to be jealous.,టామ్ అసూయపడబోతున్నాడు.
She left the room without saying a word.,ఆమె ఒక్క మాట కూడా మాట్లాడకుండా గది నుండి బయలుదేరింది.
Tom is our foster son.,టామ్ మా పెంపుడు కొడుకు.
Let us tell you why we came.,మేము ఎందుకు వచ్చామో మీకు చెప్తాము.
Mary doesn't want to end up being an old maid.,మేరీ పాత పనిమనిషిగా ఉండటానికి ఇష్టపడదు.
"You can hear English on Channel 1, and Japanese on Channel 7.",మీరు ఛానల్ 1 లో ఇంగ్లీష్ మరియు ఛానల్ 7 లో జపనీస్ వినవచ్చు.
Owls hunt at night.,గుడ్లగూబలు రాత్రి వేటాడతాయి.
They arrived at the hotel.,వారు హోటల్ వద్దకు వచ్చారు.
I had lunch with Tom today.,నేను ఈ రోజు టామ్‌తో కలిసి భోజనం చేశాను.
I was really depressed.,నేను నిజంగా నిరాశకు గురయ్యాను.
I slept only two hours.,నేను రెండు గంటలు మాత్రమే పడుకున్నాను.
Everybody jumped into the pool.,అందరూ కొలనులోకి దూకేశారు.
I told Tom to go to the police.,నేను టామ్‌ను పోలీసుల వద్దకు వెళ్ళమని చెప్పాను.
I can't stand raw fish.,నేను ముడి చేపలను నిలబడలేను.
Tom had absolutely no idea what to do.,టామ్కు ఏమి చేయాలో ఖచ్చితంగా తెలియదు.
The waiter came over to take away Tom's empty plate.,టామ్ యొక్క ఖాళీ ప్లేట్ తీసివేయడానికి వెయిటర్ వచ్చాడు.
I don't think that we'll ever know what happened to Tom.,టామ్కు ఏమి జరిగిందో మనకు ఎప్పటికి తెలుస్తుందని నేను అనుకోను.
I cannot possibly help you.,నేను మీకు సహాయం చేయలేను.
I didn't swim because it was too cold.,చాలా చల్లగా ఉన్నందున నేను ఈత కొట్టలేదు.
My father says he's planning to buy me a horse.,నా తండ్రి నాకు గుర్రాన్ని కొనాలని యోచిస్తున్నట్లు చెప్పారు.
Tom is seldom home.,టామ్ చాలా అరుదుగా ఇంట్లోనే ఉంటాడు.
I respect you for what you have done.,మీరు చేసిన పనికి నేను నిన్ను గౌరవిస్తాను.
Tom loved the song even though the lyrics were in a language he didn't understand.,సాహిత్యం తనకు అర్థం కాని భాషలో ఉన్నప్పటికీ టామ్ ఈ పాటను ఇష్టపడ్డాడు.
The teacher wrote French words on the blackboard.,గురువు నల్లబల్లపై ఫ్రెంచ్ పదాలు రాశారు.
Here's where they usually have dinner.,ఇక్కడ వారు సాధారణంగా విందు చేస్తారు.
Tom told us he loved skiing.,టామ్ మాకు స్కీయింగ్ అంటే చాలా ఇష్టమని చెప్పాడు.
I've learned so much from you.,నేను మీ నుండి చాలా నేర్చుకున్నాను.
The time will come when she'll regret it.,ఆమె చింతిస్తున్న సమయం వస్తుంది.
Tom's unstoppable.,టామ్ యొక్క ఆపుకోలేనిది.
Tom has been managing just fine.,టామ్ బాగానే ఉన్నాడు.
I have cut my finger.,నేను నా వేలు కత్తిరించాను.
I'll tell you everything that you want to know.,మీరు తెలుసుకోవాలనుకునే ప్రతిదీ మీకు చెప్తాను.
Are you sleepy?,నిద్రోస్తుందా?
I sat down next to him.,నేను అతని పక్కన కూర్చున్నాను.
You did your job well.,మీరు మీ పని బాగా చేసారు.
"If you want quality, pay for it.","మీకు నాణ్యత కావాలంటే, దాని కోసం చెల్లించండి."
Tom was the only one not sitting.,టామ్ మాత్రమే కూర్చోలేదు.
Tom refused to answer our questions.,టామ్ మా ప్రశ్నలకు సమాధానం ఇవ్వడానికి నిరాకరించాడు.
I have nothing to do this afternoon.,ఈ మధ్యాహ్నం నాకు ఏమీ లేదు.
We think you're right.,మీరు సరైనవారని మేము భావిస్తున్నాము.
You shouldn't trust anything Tom says.,టామ్ చెప్పిన దేన్నీ మీరు నమ్మకూడదు.
There are three printing presses in the workshop.,వర్క్‌షాప్‌లో మూడు ప్రింటింగ్ ప్రెస్‌లు ఉన్నాయి.
Is it true that Tom can't see very well out of his left eye?,టామ్ తన ఎడమ కన్ను నుండి బాగా చూడలేడు అనేది నిజమేనా?
I don't think that Tom knows the rules yet.,టామ్‌కు ఇంకా నియమాలు తెలుసని నేను అనుకోను.
I like your apartment.,నేను మీ అపార్ట్మెంట్ను ఇష్టపడుతున్నాను.
Would you like a glass of water?,మీరు ఒక గ్లాసు నీరు కావాలనుకుంటున్నారా?
The computer is broken.,కంప్యూటర్ విరిగిపోయింది.
Tom doesn't like competition.,టామ్‌కు పోటీ నచ్చలేదు.
Why pay when you can get it for free?,మీరు ఉచితంగా పొందగలిగినప్పుడు ఎందుకు చెల్లించాలి?
Tom asked Mary to wait for him here.,టామ్ మేరీని ఇక్కడ తన కోసం వేచి ఉండమని కోరాడు.
What does this machine do exactly?,ఈ యంత్రం సరిగ్గా ఏమి చేస్తుంది?
"I admit, I'm not the tidiest person in the world.","నేను అంగీకరిస్తున్నాను, నేను ప్రపంచంలో చక్కని వ్యక్తిని కాదు."
Where do I sign up?,నేను ఎక్కడ సైన్ అప్ చేయాలి?
I really liked the movie.,నాకు సినిమా నిజంగా నచ్చింది.
Tom is the only person Mary says she can trust.,మేరీ తనను నమ్మగలదని చెప్పే ఏకైక వ్యక్తి టామ్.
Tell Tom that I'll prune his trees for him.,టామ్ కి చెప్పండి నేను అతని చెట్లను కత్తిరించుకుంటాను.
I'd like to ask you for some advice.,నేను మిమ్మల్ని కొన్ని సలహాలు అడగాలనుకుంటున్నాను.
Can you imagine what life would be like without television?,టెలివిజన్ లేకుండా జీవితం ఎలా ఉంటుందో మీరు Can హించగలరా?
There was a tall tree in front of my house.,నా ఇంటి ముందు ఒక పొడవైన చెట్టు ఉంది.
Should I quit my job?,నేను నా ఉద్యోగాన్ని విడిచిపెట్టాలా?
I wish I had Tom's brains.,నేను టామ్ యొక్క మెదడులను కలిగి ఉండాలని కోరుకుంటున్నాను.
Didn't you know that Tom and I needed to do that?,టామ్ మరియు నేను అలా చేయాల్సిన అవసరం ఉందని మీకు తెలియదా?
We've been looking for you everywhere.,మేము ప్రతిచోటా మీ కోసం వెతుకుతున్నాము.
I want you to put out that cigarette.,మీరు ఆ సిగరెట్ బయట పెట్టాలని నేను కోరుకుంటున్నాను.
Tom asked Mary what was wrong.,టామ్ మేరీని తప్పు ఏమిటని అడిగాడు.
I used to cry a lot.,నేను చాలా ఏడుస్తాను.
There isn't anywhere else to park.,పార్క్ చేయడానికి మరెక్కడా లేదు.
He is no ordinary man.,అతను సాధారణ మనిషి కాదు.
He can touch his nose with his tongue.,అతను తన నాలుకతో ముక్కును తాకగలడు.
"If he's still alive, he'd be very old by now.","అతను ఇంకా బతికే ఉంటే, అతను ఇప్పుడు చాలా వయస్సులో ఉంటాడు."
Tom wanted me to help him.,టామ్ నేను అతనికి సహాయం చేయాలనుకున్నాను.
Does Tom speak French better than Mary?,టామ్ మేరీ కంటే ఫ్రెంచ్ మాట్లాడతాడా?
They'll kill me.,వారు నన్ను చంపుతారు.
Tom is stuck.,టామ్ ఇరుక్కుపోయాడు.
How does he do this?,అతను దీన్ని ఎలా చేస్తాడు?
Tom put his shirt on a hanger.,టామ్ తన చొక్కాను హ్యాంగర్ మీద ఉంచాడు.
I love making desserts.,నాకు డెజర్ట్‌లు తయారు చేయడం చాలా ఇష్టం.
That sounded weird.,అది విచిత్రంగా అనిపించింది.
It could be a weapon.,ఇది ఆయుధం కావచ్చు.
I think you know what I'm talking about.,నేను ఏమి మాట్లాడుతున్నానో మీకు తెలుసని అనుకుంటున్నాను.
Where is your brother?,మీ సోదరుడు ఎక్కడ?
What were we thinking?,మేము ఏమి ఆలోచిస్తున్నాము?
A nod is as good as a wink to a blind horse.,గుడ్డి గుర్రానికి వింక్ చేసినంత మంచిది.
Tom was home on Monday.,టామ్ సోమవారం ఇంటికి వచ్చాడు.
She wanted him to say that he loved her.,అతను తనను ప్రేమిస్తున్నాడని అతను చెప్పాలని ఆమె కోరుకుంది.
Could you excuse us a sec?,మీరు మాకు ఒక క్షణం క్షమించగలరా?
He goes fishing every other day.,అతను ప్రతిరోజూ చేపలు పట్టడానికి వెళ్తాడు.
Tom doesn't want to leave.,టామ్ వదిలి వెళ్ళడం ఇష్టం లేదు.
I'll miss everyone.,నేను అందరినీ కోల్పోతాను.
The customer agrees.,కస్టమర్ అంగీకరిస్తాడు.
I am working on my new book.,నేను నా క్రొత్త పుస్తకంలో పని చేస్తున్నాను.
It caught my eye.,ఇది నా దృష్టిని ఆకర్షించింది.
I won't let anybody hurt you.,మిమ్మల్ని ఎవరూ బాధపెట్టనివ్వను.
Tom gave a famous singer ten thousand dollars to come to the restaurant to sing Happy Birthday.,టామ్ ఒక ప్రసిద్ధ గాయకుడికి పది వేల డాలర్లు ఇచ్చి హ్యాపీ బర్త్ డే పాడటానికి రెస్టారెంట్‌కు వచ్చాడు.
We're at home today.,మేము ఈ రోజు ఇంట్లో ఉన్నాము.
This isn't for sale.,ఇది అమ్మకానికి లేదు.
Tom heard everything they said.,టామ్ వారు చెప్పినవన్నీ విన్నారు.
Tom's career is over.,టామ్ కెరీర్ ముగిసింది.
Tom is sleeping in the living room.,టామ్ లివింగ్ రూమ్‌లో నిద్రిస్తున్నాడు.
It started as a hobby.,ఇది ఒక అభిరుచిగా ప్రారంభమైంది.
Where were you yesterday?,నిన్న నువ్వు ఎక్కడ ఉన్నావు?
We have don't get many opportunities to speak French.,ఫ్రెంచ్ మాట్లాడటానికి మాకు చాలా అవకాశాలు రాలేదు.
Check it again.,మళ్ళీ తనిఖీ చేయండి.
You were my inspiration.,మీరు నా ప్రేరణ.
I need to know who Tom is.,టామ్ ఎవరో నాకు తెలుసుకోవాలి.
"These aren't yours, are they?",ఇవి మీవి కాదా?
The tea is very tasty.,టీ చాలా రుచికరమైనది.
The burglar came into the house through this door.,దొంగ ఈ తలుపు ద్వారా ఇంట్లోకి వచ్చాడు.
Tom likes watching action movies.,టామ్ యాక్షన్ సినిమాలు చూడటం ఇష్టపడతాడు.
She's the French ambassador to Portugal.,ఆమె పోర్చుగల్‌లోని ఫ్రెంచ్ రాయబారి.
Tom did what he promised he'd do.,టామ్ తాను చేస్తానని వాగ్దానం చేసినట్లు చేశాడు.
I don't want to break your heart.,నేను మీ హృదయాన్ని విచ్ఛిన్నం చేయాలనుకోవడం లేదు.
I want to be ready for anything.,నేను దేనికైనా సిద్ధంగా ఉండాలనుకుంటున్నాను.
Tom and I aren't afraid.,టామ్ మరియు నేను భయపడము.
Tom and I both live and work in Australia.,టామ్ మరియు నేను ఇద్దరూ ఆస్ట్రేలియాలో నివసిస్తున్నాము మరియు పని చేస్తున్నాము.
The water was ice cold.,నీరు మంచు చల్లగా ఉంది.
Do you do anything else?,మీరు మరేదైనా చేస్తున్నారా?
Source,మూలం
Tom pointed to his chest.,టామ్ అతని ఛాతీ వైపు చూపించాడు.
They were silent.,వారు మౌనంగా ఉన్నారు.
I didn't know you'd be jealous.,మీరు అసూయపడతారని నాకు తెలియదు.
We stayed behind to help Tom.,టామ్‌కు సహాయం చేయడానికి మేము వెనుక ఉండిపోయాము.
Don't meddle in my affairs.,నా వ్యవహారాల్లో జోక్యం చేసుకోవద్దు.
They're all equal.,వారంతా సమానం.
Tom continued digging.,టామ్ తవ్వడం కొనసాగించాడు.
It's doubtful that anything will grow here.,ఇక్కడ ఏదైనా పెరుగుతుందా అనేది సందేహమే.
I know that this is important to you.,ఇది మీకు ముఖ్యమని నాకు తెలుసు.
My house is on the outskirts of town.,నా ఇల్లు పట్టణ శివార్లలో ఉంది.
It's time to get up.,ఇది లేవడానికి సమయం.
Mary is a brave woman.,మేరీ ధైర్యవంతురాలు.
Why didn't you tell us there was a witness?,సాక్షి ఉందని మీరు మాకు ఎందుకు చెప్పలేదు?
Is that your idea?,అది మీ ఆలోచననా?
Why are you yawning?,మీరు ఎందుకు ఆవలిస్తున్నారు?
School begins in April.,పాఠశాల ఏప్రిల్‌లో ప్రారంభమవుతుంది.
Is it OK if I eat one of these apples?,నేను ఈ ఆపిల్ల ఒకటి తింటే సరేనా?
Look straight ahead.,నేరుగా ముందుకు చూడండి.
That result was predictable.,ఆ ఫలితం able హించదగినది.
I didn't know you were going to be there.,మీరు అక్కడ ఉండబోతున్నారని నాకు తెలియదు.
I'll phone you as soon as I get to the airport.,నేను విమానాశ్రయానికి వచ్చిన వెంటనే మీకు ఫోన్ చేస్తాను.
That's a stupid rule.,అది తెలివితక్కువ నియమం.
I can't let you do this.,నేను దీన్ని మీకు అనుమతించలేను.
We started to walk.,మేము నడవడం ప్రారంభించాము.
It's an illusion.,ఇది ఒక భ్రమ.
I have a few minutes.,నాకు కొన్ని నిమిషాలు ఉన్నాయి.
Tom is still an amateur.,టామ్ ఇప్పటికీ te త్సాహిక వ్యక్తి.
The plank froze to the ground.,ప్లాంక్ నేలమీద గడ్డకట్టింది.
He is capable of teaching French.,అతను ఫ్రెంచ్ బోధించే సామర్థ్యం కలిగి ఉంటాడు.
This street used to have another name.,ఈ వీధికి మరొక పేరు ఉండేది.
